provider_id	vehicle_id	option_id	option_name	option_type	unlock_fee_eur	reservation_fee_eur	fixed_fee_eur	trip_fee_eur	min_total_eur	cap_24h_eur	airport_fee_eur	drive_day_min_rate_eur	drive_night_min_rate_eur	park_day_min_rate_eur	park_night_min_rate_eur	km_rate_eur	fuel_included	parking_included	package_price_eur	included_min	included_km	over_km_rate_eur	over_day_min_rate_eur	over_night_min_rate_eur	daily_price_eur	daily_included_km	daily_unlimited_km	daily_over_km_rate_eur	source_url	notes
bolt	bolt_yaris_cross	bolt_yaris_cross_payg	PAYG (Toyota Yaris Cross)	PAYG	0	0	0	0	2.55	20.90	3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE											(in-app)	Min charge + daily cap; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_24h	24h + 800km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	FALSE	FALSE	34	1440	800	0.15							(in-app)	Fuel+parking not included
bolt	bolt_yaris_cross	bolt_yaris_cross_48h	48h + 800km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	FALSE	FALSE	64	2880	800	0.15							(in-app)	Fuel+parking not included
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1h_5km	1h + 5km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	6.99	60	5								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1h_10km	1h + 10km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	8.30	60	10								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1h_20km	1h + 20km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	11.10	60	20								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1h_30km	1h + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	13.80	60	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1h_50km	1h + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	19.40	60	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_2h_10km	2h + 10km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	13.99	120	10								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_2h_20km	2h + 20km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	16.70	120	20								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
