provider_id	vehicle_id	vehicle_name	vehicle_class
bolt	bolt_yaris_cross	Toyota Yaris Cross	
carguru	carguru_37	Lucky Ride cars	
carguru	carguru_15	Nissan Juke	
carguru	carguru_16	Nissan Qashqai	
carguru	carguru_24	Nissan Qashqai e-power	
carguru	carguru_35	Qashqai C24	
carguru	carguru_27	Tesla 3 Performance	
carguru	carguru_26	Tesla Model 3 LR	
carguru	carguru_25	Tesla Model 3 SR	
carguru	carguru_29	Tesla Model Y LR	
carguru	carguru_28	Tesla Model Y SR	
carguru	carguru_1	Toyota C-HR	
carguru	carguru_33	Toyota C-HR Mesa	
carguru	carguru_17	Toyota Corolla HB	
carguru	carguru_5	Toyota Yaris	
citybee	citybee_25156	Fiat Ducato	cargo
citybee	citybee_10156	Ford Transit	cargo
citybee	citybee_9662	Renault Master	cargo
citybee	citybee_25309	MG ZS	crossover
citybee	citybee_10245	Nissan Qashqai	crossover
citybee	citybee_11384	Seat Ateca	crossover
citybee	citybee_10277	Toyota C-HR	crossover
citybee	citybee_25118	Toyota Corolla Cross	crossover
citybee	citybee_10168	VW T-Roc	crossover
citybee	citybee_4633	Volkswagen T-Cross	crossover
citybee	citybee_10278	Volkswagen Taigo	crossover
citybee	citybee_11117	Ford Focus Wagon	estates
citybee	citybee_11445	Toyota Corolla Touring	estates
citybee	citybee_9512	BMW 118i	hatchbacks
citybee	citybee_10170	Ford Focus	hatchbacks
citybee	citybee_11421	Ford Puma	hatchbacks
citybee	citybee_11360	Peugeot 308	hatchbacks
citybee	citybee_10421	Skoda Fabia	hatchbacks
citybee	citybee_4627	Toyota Corolla	hatchbacks
citybee	citybee_4626	Toyota Yaris	hatchbacks
citybee	citybee_10213	Ford Kuga	suv
citybee	citybee_10092	Skoda Kamiq	suv
citybee	citybee_11420	Skoda Karoq	suv
citybee	citybee_11499	Volkswagen Tiguan	suv
