provider_id	vehicle_id	option_id	option_name	option_type	unlock_fee_eur	reservation_fee_eur	fixed_fee_eur	trip_fee_eur	min_total_eur	cap_24h_eur	airport_fee_eur	drive_day_min_rate_eur	drive_night_min_rate_eur	park_day_min_rate_eur	park_night_min_rate_eur	km_rate_eur	fuel_included	parking_included	package_price_eur	included_min	included_km	over_km_rate_eur	over_day_min_rate_eur	over_night_min_rate_eur	daily_price_eur	daily_included_km	daily_unlimited_km	daily_over_km_rate_eur	source_url	notes
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_100km	1 day + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	47.40	1440	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_100km	1 day + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	47.40	1440	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_100km	1 day + 100km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	49.30	1440	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_150km	1 day + 150km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	61.20	1440	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_150km	1 day + 150km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	61.20	1440	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_150km	1 day + 150km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	63.60	1440	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_250km	1 day + 250km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	88.70	1440	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_250km	1 day + 250km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	88.70	1440	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_250km	1 day + 250km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	92.10	1440	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_30km	1 day + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	28.10	1440	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_30km	1 day + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	28.10	1440	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_30km	1 day + 30km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	29.40	1440	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_500km	1 day + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	157.60	1440	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_500km	1 day + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	157.60	1440	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_500km	1 day + 500km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	163.30	1440	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_50km	1 day + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	33.60	1440	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_50km	1 day + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	33.60	1440	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_50km	1 day + 50km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	35.10	1440	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_750km	1 day + 750km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	226.50	1440	750								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_750km	1 day + 750km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	226.50	1440	750								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_750km	1 day + 750km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	234.60	1440	750								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1d_75km	1 day + 75km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	40.50	1440	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_1d_75km	1 day + 75km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	40.50	1440	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_1d_75km	1 day + 75km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	42.20	1440	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_100km	12h + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	46.40	720	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_100km	12h + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	46.40	720	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_100km	12h + 100km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	48.30	720	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_150km	12h + 150km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	60.10	720	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_150km	12h + 150km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	60.10	720	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_150km	12h + 150km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	62.60	720	150								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_250km	12h + 250km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	87.70	720	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_250km	12h + 250km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	87.70	720	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_250km	12h + 250km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	91.10	720	250								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_30km	12h + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	27.10	720	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_30km	12h + 30km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	27.10	720	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_30km	12h + 30km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	28.40	720	30								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_500km	12h + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	156.60	720	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_500km	12h + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	156.60	720	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_500km	12h + 500km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	162.30	720	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_50km	12h + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	32.60	720	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_50km	12h + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	32.60	720	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_50km	12h + 50km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	34.10	720	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_12h_75km	12h + 75km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	39.50	720	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_golf_diesel	bolt_vw_golf_diesel_pkg_12h_75km	12h + 75km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	39.50	720	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_vw_t_cross	bolt_vw_t_cross_pkg_12h_75km	12h + 75km	PACKAGE	0	0	0	0			3.5	0.14	0.14	0.14	0.14	0.30	TRUE	TRUE	41.20	720	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
bolt	bolt_yaris_cross	bolt_yaris_cross_pkg_1h_10km	1h + 10km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	8.30	60	10								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle)
